	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
workstation	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								Kenntnisse in den Bereichen Windows Workstation und Server, Microsoft SQL, Oracle, Automatische Anrufverteilsysteme (Avaya, Cisco, Siemens, Aspect, Nortel, usw.), SaaS sowie Hosted und Managed Services wünschenswert
¿netbook	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								Als Junior-Produktmanager (m/w) sind Sie mit für die Gestaltung und die Entwicklung der Produktgruppen ¿Netbooks, Notebooks und Tablet-PC`s¿ verantwortlich.
digitizer	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								An den Standorten der Agfa-Gevaert HealthCare GmbH werden medizinische Digitizer und Printer für den Bereich der Radiologie entwickelt und gefertigt.  An den Standorten der Agfa-Gevaert HealthCare GmbH werden medizinische Digitizer und Printer für den Bereich der Radiologie entwickelt und gefertigt.
ipad	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								Als Werkstudent oder Praktikant in unserem New Business Team über-nehmen Sie nach Ihrer Einarbeitung kleine Entwicklungspakete und beteiligen sich an der Entwicklung von Web-Services, Widgets und Apps für mobile Geräte (Android, iPhone, iPad etc.).
microcomputer	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								Microcomputer und Microcontroller
mikrocomputersystem	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								Regelungs- und Mikrocomputersysteme
pc(	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								routinierter Umgang mit Telefon und PC(MS Office)
tablet	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								Mit unserer Kenntnis über Trends, Technik und Modelle sind wir eine der wichtigsten Online-Quellen rund um Notebooks, Smartphones und Tablets.
tablet-pc`	(4A) PC,Laptop, Notebook, Tablet	(4A)	PC,Laptop, Notebook, Tablet								Als Junior-Produktmanager (m/w) sind Sie mit für die Gestaltung und die Entwicklung der Produktgruppen ¿Netbooks, Notebooks und Tablet-PC`s¿ verantwortlich.
tablett	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug	jop nicht das Tablet sondern das Kellner Tablett etc.							Zubereitung, Portionierung und Anrichten von Speisen und Tabletts
[embedded] Systems	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
7,cnc	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								fundierte Kenntnisse in Windows 7,CNC und CAD/CAM
bordcomputer	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Zum Teil handelt es sich um Einmalanfertigungen für die Feuerwehr Hamburg (z. B. Kräne, Abrollbehälter ¿Dekontamination¿, Abrollbehälter ¿Gefahrgut¿), die höchste Technik darstellen und unter anderem über Bordcomputer und SPS (speicherprogrammierbare Steuerung) betrieben werden.
boschsteuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Ihre Aufgabe ist das Bedienen und Einrichten von CNC-gesteuerten Dreh- und Fräsmaschinen (Boschsteuerung).
cnc/nc	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse im Bereich CNC/NC Schleifen und Programmieren
cybelec/trumpf-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse in der Cybelec/Trumpf-Steuerung
cybelec-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse in der Cybelec-Steuerung
din-programm	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse im Bereich Drehen, Fräsen und CNC (DIN-Programm) sind erforderlich.
fanuc	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
fanuc/mitsubishi	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Für unseren Kunden suchen wir ab sofort eine/n Zerspanungsmechaniker m/w, Aufgabengebiet: Rüsten und Bedienen von CNC- Lang- und Kurzdrehautomaten, Optimierung von Fertigungsabläufen, Programmieren der Maschinen (Fanuc/Mitsubishi Steuerungen)
fanuc-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
fanuk	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Wir suchen für unseren Kunden in Weilheim an der Teck einen Industriemechaniker mit CNC-Drehmaschinenerfahrung (Siemens, Fanuk und Heidenhainsteuerung) Schweißkenntnisse (WIG und MAG) von Vorteil.  Sie üben berufstypische Arbeiten an den entsprechenden CNC-Maschinen mit Steuerung Fanuk und Mazatrol Maschine Mazak aus (Schmallenberg).  Dabei arbeiten Sie mit den Steuerungen Fanuk, Okuma und Siemens.
fanuk-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Bevorzugte Kenntnisse in der Fanuk-Steuerung oder Bereitschaft sich diese anzueignen.  Bedienen und Programmieren CNC gesteuerter Anlagen ( Fanuk-Steuerung)
heidenhain	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
heidenhain-maschine	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Erfahrung im Umgang mit Heidenhain-Maschinen von Vorteil
heidenhainsteuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								eine/n CNC-Fräser/in mit Erfahrung in der Heidenhainsteuerung und
heidenhain-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
heidenheim	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								CNC Kenntnisse in der Heidenheim Steuerung sind von Vorteil.
heidenhein	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Ihre Aufgabe ist die Bearbeitung von Einzelteilen an CNC Fräsmaschinen mit Heidenhein und Siemenssteuerung.
heller-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse in den Heller-Steuerungen Unipro 90 und Siemens 840D
logidynd2	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse in LogidynD2 von Vorteil
mazarol-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
mazatrol	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Der Umgang mit den Steuerungssystemen FANUC, Heidenhain, Sinumerik, Gildemeister oder Mazatrol ist selbstverständlich.
mazatrolsteuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Bereits vorhandene Kenntnisse in Mazatrolsteuerung wären von Vorteil, sind aber nicht zwingend notwendig.
millplus	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
mill-plus-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								gute Kenntnisse in der Mill-Plus-Steuerung
nc/sps	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Projektleitung Automatisierungsprojekte Bereich Software (NC/SPS)
nc-programm	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
okuma	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Selbständiges Einrichten, Programmieren und Bedienen von CNC-Maschinen mit den Steuerungen Moriseiki und Takisawa (zwingend erforderlich) sowie Fanuc, Traub und Okuma (wünschenswert)    Außerdem sind Sie vertraut im Umgang mit Siemens-, Okuma oder Fanuc-Steuerungen.
okuma-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
plc/sps	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Sie verfügen über Kenntnisse in C++, Linux, PLC/SPS Programmierung (z.B.
											NA
robotersteuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Mehrjährige Erfahrung in Wartung und Instandhaltung von Produktionsanlagen, Robotersteuerungen und SPS S7 Kenntnisse.    Zusätzliche Kenntnisse in der Robotersteuerung (z.B.
s5/s7	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
s6	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnissen der Siemens-Steuerung S6 und S7 zur Überwachung und Wartung von Produktionsanlagen
s7	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
s7/pcs7	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
s7/s5	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Sie programmieren speicherprogrammierbare Steuerungen verschiedener Hersteller, vorzugsweise Siemens S7/S5, ABB und AEG, sowie verschiedener MMI-Bediengeräte und Schnittstellenprogrammierung diverser Bussysteme TCP/IP, Profibus und serielle Schnittstellen.
s7-300	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								SPS-Steuerungen ( S7-200, S7-300, Logo) erforderlich
s7-300/400	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Erwartet werden Kenntnisse in der SPS-Programmierung (S7-300/400), Kenntnisse im Bereich Elektro-CAD (WSCAD, ePLAN) sowie Kenntnisse im Bereich Robotertechnik (KUKA).
s7-sps-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse im Bereich S7-SPS-Steuerungen
s7-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Wir erwarten Erfahrung in EPLAN-Konstruktion und S7-Steuerung.
scada-systemen	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Außerdem verfügen Sie über einschlägige Erfahrungen in EPLAN, SPS-Programmierung und SCADA-Systemen.
scl	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse in SCL Programmiersprache sowie C-Sprache, außerdem in der SPS Programmierung, Programmierung-Siemens WinCC Flexibel-, Protool für Siemens Panel (von Vorteil)
siematic	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
siemens 840 D	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Erfahrungen mit Siemens 840 D und Fanuc Steuerungen sind von Vorteil
siemens protool	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
siemens/haidenhein	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse und Erfahrungen im Einrichten und Drehen von Einzelteilen an entsprechenden CNC-Maschinen (Siemens/Haidenhein)
siemens-840	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								CNC-Kenntnisse, CNC-Programmieren (Kenntnisse in Siemens-840 D von Vorteil)
siemens-profinet	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								fundierte Kenntnisse in Simatic S7, Siemens-Profinet und Safety integrated, Siemens Profibus, Pilz PSS 3000, WinCC, Echtzeitsystem Twincat
siemenssteuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
Siemenssteuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
siemens-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sienumerik-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Im Auftrag unseres Kunden aus Lennestadt suchen wir für einen langfristigen Einsatz (mindestens 12 Monate) einen Zerspanungsmechaniker m/w in Schichtarbeit zur Programmierung von CNC-gesteuerten Maschinen (Sienumerik-Steuerung).
simatec	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								SPS-Programmierung (SIMATEC S7)
simatic s7	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sinamic	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sinumeric	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Techniker der Fachrichtung Elektronik/Mechatronik/Maschinentechnik und bringen idealerweise mehrjährige Erfahrung als Servicetechniker für CNC gesteuerte Maschinen (Sinumeric 840D, 840Dsl) mit.
sinumeric-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								CNC-Bearbeitungsmaschine (Sinumeric-Steuerung) rüsten u. bedienen:
sinumerik	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sps	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
SPS SIMATIC S7	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sps steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sps(s5/s7	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse in SPS(S5/S7) sind von Vorteil.
sps/cnc	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sps-maschine	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Programmieren und steuern von SPS-Maschinen und Anlagen.
sps-programm	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Als SPS-Programmierer sind Sie verantwortlich für die Erstellung von SPS-Programmen und Visualisierungssoftware.
sps-s5	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Erfahrung im Umgang mit SPS-S5 sind zwingend erforderlich
sps-siemens-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								gute Kenntnisse in SPS-Siemens-Steuerung, wünschenswert sind Kenntnisse in SAP R3, Maschinenbau und idealerweise auch in Arbeitssicherheit / Umweltschutz
sps-simatic	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Planung, Entwicklung, Programmierung, Inbetriebnahme von Maschinen- und Anlagensteuerungen, Industrieroboter, SPS-Simatic und Allen Bradley, Motion Control, Antriebstechnik
sps-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sps-steuerung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sps-steuerungen/automatisierungstechnik	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse im bereich SPS-Steuerungen/Automatisierungstechnik sowie in der Mess-, Regel- und Antriebstechnik (Siemens, Rockwell, SEW)
sps-system	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sps-technik	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
sp-steueranlage	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Fundierte Kenntnisse im Bereich der SP-Steueranlagen S7 und MSR
steueranlage	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
Steuereinrichtung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Daneben Montierung von Heizkesseln für Öl, Gas und Kohle und Verlegung von Rohren für Heißwasser oder Blech- bzw. Kunststoffkanäle für Warm- oder Frischluft inklusive der erforderlichen Regelungen und elektronischen Steuereinrichtungen, Pumpen und Armaturen.    Elektroniker/innen für Betriebstechnik im Bereich Schalt- und Steueranlagen entwickeln, konstruieren und projektieren Schalt-, Verteilungs- und Steuergeräte, Steueranlagen bzw. -einrichtungen.
steuergerät	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
steuertableau	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Zusammenbau und Verdrahten von Baugruppen und Geräten (Schaltschränken, Steuertableaus)
steuerungselement	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Sie verfügen nach Möglichkeit über Kenntnisse im Umgang mit Steuerungselementen wie Simens 840D, Siemens 840Di, Haas, TND360.
steuerungshardware	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
steuerungssoftware	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
twin-cat	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Gute Programmierkenntnisse in CoDeSys (Twin-Cat)
umess	(3C) computergesteuerte Analysesysteme, Diagnosegeräte mit Daten-/Bildspeicherung und Ergebnisausdruck	(3C)	computergesteuerte Analysesysteme, Diagnosegeräte mit Daten-/Bildspeicherung und Ergebnisausdruck								gute EDV-Kenntnisse (MS Office, Calypso und Umess)
heidenhain	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								NA
bediensoftware	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Sie sind routiniert im Umgang mit technischen Handbüchern und Bediensoftware und finden leicht Lösungen für verschiedene Anforderungen
dialer	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Erfahrung mit RAS, VPN (PPP, L2TP, Dialer, ¿)
haidenhain-maschine	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Der Einsatz erfolgt an modernen Siemens-, Fanuc- und Haidenhain-Maschinen.
indralogic	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Gute Programmierkentnisse in Codesys (TwinCat, IndraLogic) oder in einer höheren Programmiersprache (C/C++) - erforderlich
industrietastatur	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Arbeiten mit Scanner und Industrietastatur
mitsubishi-maschine	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Zum nächstmöglichen Zeitpunkt suchen wir eine/n Drahterodierer/in, idealerweise mit Erfahrung auf Fanuc- und Mitsubishi-Maschinen.
sps-programmen	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								> Inbetriebnahme der erstellten CNC- und SPS-Programmen im Hause und beim Kunden vor Ort
sps-s7	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Ihre Aufgaben sind: Planung für den Steuerungsbau, Automatisierungstechnik, SPS-Programmierung ( SPS-S7, CAD, EPLAN oder WS-CAD) und Inbetriebnahme sowie Service.  Kenntnisse in SPS-S7
sps-software	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Für unsere Kunden entwickeln und programmieren wir maßgeschneiderte technische PC- und SPS-Software.  Für unsere Kunden entwickeln und programmieren wir maßgeschneiderte technische PC- und SPS-Software.
sps-standardsoftware	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Erstellung von SPS-Standardsoftware und Visualisierungssoftware
sps/s7-programmierung	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								» Gute Kenntnisse im Bereich SPS/S7-Programmierung
steuerpult	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Die Lochner Schaltanlagenbau GmbH plant, entwickelt, konstruiert und montiert anschlussfertige Maschinen- und Anlagensteuerungen, Schaltschränke und Steuerpulte für die Steuer-, Mess- und Regeltechnik sowie für die Automatisierungstechnik.
steuerungsprogramm	(4B) Computer für die Steuerung von Maschinen und Anlagen	(4B)	Computer für die Steuerung von Maschinen und Anlagen								Kenntnisse im Steuerungsprogramm Heidenhain ITNC-530
µcontroller	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Hardwarenahe Softwareentwicklung für Embedded Systeme (µController und DSP)
µp	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Kenntnisse in den Programmiersprachen C/C++, VHDL und µP
arm cortex m3	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								> Software-Entwicklung in C/C++ (ARM Cortex M3) für die Neuentwicklung und Pflege unserer Controller-Komponenten
c167	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Erfahrung mit Mikrocontrollern (C167)und ¿embedded systems¿ sowie deren Entwicklungstools
cplds	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								NA
fpgas	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								NA
fpga's	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								* Erstellen komplexer Architekturen und Erarbeiten entsprechender Lösungen auf Basis von FPGA's, Mikrocontrollern und DSPs
mikrochip	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Fingerfertigkeit und eine ruhige Hand werden vorausgesetzt, Erfahrungen im Umgang mit Mikrochips sind sehr von Vorteil.
mikrocontroller	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								NA
mikroprozessor	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								NA
mikroprozessortechnik	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								NA
mikrosystem	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Kenntnisse im Bereich Mikrosysteme
mikrosystemtechnik	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								NA
msp430	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								NA
msp-anlage	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Überdies besitzen Sie sehr gute Kenntnisse im Bereich elektrische Systeme, MSP-Anlagen und Automation.
arm3	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Hardwarenahe Programmierung / µC-Programmierung (µC-Familien AMTEL AVR und ARM3) in C
atmel	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Microcontroller (PIC, Atmel)
icon-l	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Kenntnisse in der Programmsprache LabView und ICON-L wären von Vorteil
microchip	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Dafür sollten Sie Kenntnisse in der Programmierung mit C, C++ und Microchip dsPIC Serie haben.
microcontroller	(4C) Mikrocontroller/ Mikroprozessor	(4C)	Mikrocontroller/ Mikroprozessor								Fachlehrgänge wie Pneumatik, E-Pneumatik, Mechatronik, Microcontroller und SPS-Programmierung  Fachlehrgänge wie Pneumatik, E-Pneumatik, Mechatronik, Microcontroller und SPS-Programmierung  Fachlehrgänge in Pneumatik, E-Pneumatik, Mechatronik, Microcontroller und SPS-Programmierung ergänzen die praktische Ausbildung.
anwendungsserver	(4D) Server	(4D)	Server								Sie besitzen ausgeprägte Kenntnisse mit Anwendungsservern, Datenbanken und Middleware-Technologien.
applikationsserver	(4D) Server	(4D)	Server								Kenntnisse über Betriebssysteme, Datenbanken und Applikationsserver mitbringen  Erfahrung im Umgang mit Applikationsservern
client/server-systeme	(4D) Server	(4D)	Server								Einsatzgebiete in der Fachrichtung Systemintegration sind Rechenzentrum, Netzwerke und Client/Server-Systeme.
client-server	(4D) Server	(4D)	Server								Oracle Anwendungsentwicklung mit PL/SQL, SQL, Oracle Forms (Client-Server und Web) sowie Oracle-Reports    Sie verfügen über sehr gute Kenntnisse in den Bereichen mathematische Methoden (Regressionsverfahren, Minimierung, Schätzer, Modellierung), Programmiersprachen und Betriebssysteme Java (Applets, SWING, Client-Server), dynamische Webseitenprogrammierung, Datenbank PostgreSQL, Linux/Scripting.
client-serverbetriebssystemen	(4D) Server	(4D)	Server								Technisches Studium, erste Erfahrung im Umgang mit Client-Serverbetriebssystemen sowie mit Oracle oder MSSQL-Datenbanken, Programmierkenntnisse sind von Vorteil.
dominoserver	(4D) Server	(4D)	Server								NA
domino-server	(4D) Server	(4D)	Server								NA
glassfish	(4D) Server	(4D)	Server								tiefgreifende Erfahrungen mit relationalen Datenbanken und Application Servern für Java (speziell Tomcat, Jetty und Glassfish)
groupware-server	(4D) Server	(4D)	Server								NA
